Referencia;Descripcion;Familia Padre;Familia;Subfamilia;Stock Fisico;Stock Operativo;Stock Comercial;Mar;Puerto;Despachado
07343;"Casco BrainGuard Sprinter";"Cuidado del aire";"";"Raclettes";500;499;499;0;0;0
02201;"Horno combi grill";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";155;40;40;0;0;0
02714;"Vinoteca Bolero GrandSommelier 1230 CoolWood Compressor";"GAE";"Vinotecas";"Vinotecas";263;262;262;0;0;0
01735;"Cafeteras semi-atuomáticas instant-ccino 20 chic serie nera m";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";0;0;0;0;0;0
02579;"TV Cecotec V1 series VQU10050S";"Gama Marrón";"Televisores";"Televisores QLED";215;207;207;0;0;0
09042;"Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 90 x 190";"Descanso";"Descanso";"Colchón";0;0;0;0;0;5
07575;"Colchón Flow PureVital 6990 135x190";"Descanso";"Descanso";"Descanso";62;62;62;0;0;0
02709;"Vinoteca Bolero GrandSommelier 1230 CoolCrystal";"GAE";"Vinotecas";"Vinotecas";482;474;474;0;0;0
03089;"Plancha de cocina Tasty&Grill 2000 Bamboo";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";265;265;265;0;0;0
01283;"Sartén Polka Fantasy 28 Bucket Golden";"Menaje";"Sartenes y Ollas";"Sartenes";900;896;896;0;0;318
05191;"Robot limpiacristales Conga WinDroid Excellence 970 (nuevo)";"Aspiración y Limpieza";"Robots";"Robots limpiacristales";3;3;3;0;0;0
07584;"Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 105x190. Multicapa";"Descanso";"Descanso";"Descanso";9;6;6;0;0;36
07588;"Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 3900 Medida 150x190. Multicapa";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";63;40;40;0;0;63
07459;"Cecotec Colchón Viscoelástico Flow ViscoCare 1900 135x200cm.Multicapa";"Descanso";"Descanso";"Descanso";7;1;1;0;0;14
V0263;"Secadora EVVO Nature S8 Bomba Calor";"";"";"";0;0;0;0;0;49
05436;"Robot aspirador Conga 3790";"Aspiración y Limpieza";"Robots";"Robots aspiradores";0;0;0;0;0;0
02431;"Frigorífico Bolero CoolMarket Combi 322 Glass White E";"GAE";"Frigoríficos";"Frigoríficos combi";411;386;386;0;0;0
04228;"Barbero con dial Bamba PrecisionCare AllDrive";"Cuidado personal";"Cortapelos";"Cortapelos con batería";481;433;433;0;0;0
04231;"Plancha de pelo turmalina con ión RitualCare 885 Hidraprotect Ion";"Cuidado personal";"Planchas de pelo";"Planchas de pelo estrechas con cable";429;408;408;0;0;0
V0060;"7427020038630-Frigorífico Combi Evvo F60 Retro Beige";"GAE";"Frigoríficos";"Frigoríficos combi";1;1;1;0;0;68
V0061;"7427020038647-Frigorífico Combi Evvo F60 Retro Rojo";"GAE";"Frigoríficos";"Frigoríficos combi";17;17;17;0;0;70
05299;"Ventilador, calefactor y Purificador de aire TotalPure 3in1 Connected Max";"Cuidado del aire";"Tratamiento del aire";"Purificadores de aire";1729;1728;1728;0;0;0
01289;"Sartén Polka Fantasy 28 Bucket Silver";"Menaje";"Sartenes y Ollas";"Sartenes";884;878;878;0;0;228
05635;"Difusor de aroma PureAroma 500 Smart SunLight";"Cuidado del aire";"Tratamiento del aire";"Humidificadores";1265;1258;1258;0;0;0
07839;"Colchón Flow Genuine + 150x190";"Descanso";"Descanso";"Descanso";80;80;80;0;0;0
04286;"Cepillo alisador Bamba InstantCare 1200 Look Brush";"Cuidado personal";"Cepillos";"Cepillos alisadores";3048;3036;3036;0;0;0
05091;"Filtro de Alto Rendimiento Conga Duostock Easy/ EcoExtreme Stick Easy";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";0;0;0;0;0;0
04029;"Sous vide";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";0;0;0;0;0;0
02611;"TV 0 Series 0024S";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
02613;"TV 0 Series 0032S";"Gama Marrón";"Televisores";"Televisores LED";0;0;0;0;0;0
0002CONS;"Palets Categoría E";"Servicios";"Servicios";"Servicios";0;0;0;0;0;0
04248;"Plancha de pelo Bamba RitualCare 1100 HidraProtect Ion Touch";"Cuidado personal";"Planchas de pelo";"Planchas de pelo estrechas con cable";0;-3;-3;0;0;0
04176;"Accesorio batidora amasadora Twist&Fusion Salad";"PAE Cocina";"Batidoras";"Batidoras amasadoras";148;143;143;0;0;0
04755;"Gofrera Fun Gofrestone (Exclusivo Consum)";"PAE Cocina";"Lavavajillas";"Microondas sin plato";9920;0;9920;0;0;0
04327;"Secador de viaje básico Bamba IoniCare Power&Go (Exclusivo Consum)";"Cuidado personal";"Secadores de pelo";"Secadores de pelo DC";97;1;1;0;0;0
04380;"Cecomixer Easy Versatile 5L 1200W";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";0;0;0;0;0;0
04262;"Báscula de baño  Surface Precision 10400 Smart Healthy Vision Green";"Cuidado personal";"Básculas";"Básculas de baño con APP";3691;3689;3689;0;0;0
08600;"Aspirador de trineo Conga Rockstar Multicyclonic Compact X-treme";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores trineo sin bolsa";0;0;0;0;0;0
08233;"Ventilador de pie EnergySilence 600 Woodstyle";"Cuidado del aire";"Ventilación";"Ventiladores de pie";6;3;3;0;0;0
05646;"Difusor de aroma PureAroma 550 Connected Stone";"Cuidado del aire";"Tratamiento del aire";"Humidificadores";4370;4363;4363;0;0;0
04265;"Báscula de baño Surface Precision 10600 Smart Healthy Pro Dark Grey";"Cuidado personal";"Básculas";"Básculas de baño con APP";383;373;373;0;0;0
03125;"Set de Sartenes Polka Experience 18-22-26 Bucket Set Titan";"Menaje";"Sartenes y Ollas";"Set de sartenes";397;386;386;0;0;0
05168;"8,5 BAT PHOENIX";"Movilidad";"Patinetes eléctricos";"Patinetes eléctricos";0;0;0;0;0;0
V0177;"Robot aspirador EVVO R9D LASER";"";"";"";0;0;0;0;0;500
V0176;"Robot aspirador EVVO R9 LASER";"";"";"";0;0;0;0;0;500
01032;"Set de Sartenes Polka Classy 20-24-28 Bucket Set Steel";"Menaje";"Sartenes y Ollas";"Set de sartenes";638;638;638;0;0;0
04223;"Rizador de pelo Bamba SurfCare 790 Curly";"Cuidado personal";"Rizadores de pelo";"Rizadores de pelo manuales cable";1298;1273;1273;0;0;0
03058;"Plancha de cocina Tasty&Grill 2000 Bamboo Black";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";2434;2328;2328;0;0;0
05331;"Emisor térmico 6 elementos Ready Warm 1200 Thermal";"Cuidado del aire";"Calefacción";"Emisores térmicos";3980;3950;3950;0;0;0
05332;"Emisor térmico 8 elementos Ready Warm 1800 Thermal";"Cuidado del aire";"Calefacción";"Emisores térmicos";3579;3578;3578;0;0;0
01390;"Microondas encastrable GrandHeat 2500 Built-In Steel";"PAE Cocina";"Microondas";"Microondas encastrables con plato";702;701;701;0;0;0
03104;"Arrocera RiceFusion 7000 Inox";"PAE Cocina";"Arroceras";"Arroceras";8;-2;-2;0;0;0
05343;"Toallero eléctrico Ready Warm 9050 Twin Towel";"Cuidado del aire";"Calefacción";"Toalleros eléctricos";65;45;45;0;0;0
L4900;"SS23PE01-M-Camiseta Volantes";"Ropa";"Ropa";"Ropa";13;10;10;0;0;0
03042;"VisionToast";"PAE Cocina";"Tostadores";"Tostadores verticales";1089;1087;1087;0;0;0
03169;"Sartén Polka Platinum 22 Bucket Thunder";"Menaje";"Sartenes y Ollas";"Sartenes";667;664;664;0;0;0
08698;"Colchón Flow ViscoCare 1900 100x200";"Descanso";"Descanso";"Descanso";0;0;0;0;0;7
03050;"Sandwichera RocknToast Fifty-Fifty";"PAE Cocina";"Sandwicheras";"Sandwicheras";2252;2148;2148;0;0;1800
02693;"Frigorífico Bolero MiniCooling 4L Río Red";"GAE";"Frigoríficos";"Frigoríficos retro";471;469;469;0;0;0
03152;"Grill Polka Exclusive 28 Grill Wood&Rock";"Menaje";"Sartenes y Ollas";"Grills";357;351;351;0;0;0
01511;"ThermoSense 370 Clear";"PAE Cocina";"Hervidores de agua";"Hervidores de agua";2956;2924;2924;0;0;222
04235;"Cortapelos Bamba PrecisionCare Titanium";"Cuidado personal";"Cortapelos";"Cortapelos con batería";619;606;606;0;0;0
09060;"Colcho´n Flow CecoFresh 2900 CoolConfort Hybrid 180 x 200";"Descanso";"Descanso";"Colchón";0;0;0;0;0;1
03094;"Plancha de cocina Tasty&Grill 2000 InoxStone";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";1763;1763;1763;0;0;0
04139;"Robot de cocina Mambo 8590";"PAE Cocina";"Robots multifunción";"Robots multifunción";952;244;944;0;0;0
03405;"Plancha de pelo Bamba RitualCare 1200 Titanium Ion Touch";"Cuidado personal";"Planchas de pelo";"Planchas de pelo estrechas con cable";995;989;989;0;0;0
03097;"Exprimidor de brazo EssentialVita PowerFresh 600 Inox";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";358;339;339;0;0;0
05859;"Aspirador vertical Conga Rockstar Nonstop Flex";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales batería";4;4;4;0;0;0
04134;"Licuadora de prensa fría Juice&Live 2000 EasyClean";"PAE Cocina";"Licuadoras";"Licuadoras de prensa fría";1589;1586;1586;0;0;0
03959;"Batidoras de mano Katana 15 TotalDestroy Jar G";"PAE Cocina";"Batidoras";"Batidoras de mano";1373;1355;1355;0;0;0
V0264;"Secadora EVVO Nature S8X Bomba Calor";"";"";"";0;0;0;0;0;38
V0261;"Secadora EVVO Nature S8C Condensación";"";"";"";0;0;0;0;0;40
V0262;"Secadora EVVO Nature S8CX Condensación";"";"";"";0;0;0;0;0;40
04127;"PowerGear 1500 XL Pro con pasapure´s";"PAE Cocina";"Batidoras";"Batidoras de mano";0;0;0;0;0;0
04278;"Horno grill eléctrico para pizza Fun Pizza&Co";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";1221;1217;1217;0;0;0
05597;"Aspirador trineo Conga Rockstar 2700 Vital";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores trineo sin bolsa";3;3;3;0;0;0
08230;"Ventilador de sobremesa EnergySilence 600 WoodDesk";"Cuidado del aire";"Ventilación";"Ventiladores de sobremesa";0;-5;-5;0;0;0
03977;"Batidoras de mano Katana 15 TotalDestroy Chop B";"PAE Cocina";"Batidoras";"Batidoras de mano";3213;3213;3213;0;0;0
03265;"Raclette Tradicional Cheese&Grill 6000 Inox";"PAE Cocina";"Fun Cooking";"Raclettes";720;710;710;0;0;0
05891;"ReadyWarm 11000 Space 360 Black";"Cuidado del aire";"Calefacción";"Radiadores de aceite";650;626;626;0;0;0
03983;"Batidora de vaso Grand Katana 18 Total Destroy W";"PAE Cocina";"Batidoras";"Batidoras de vaso";384;384;384;0;0;0
01537;"microondas 23l . con grill Pro Clean 6110";"PAE Cocina";"Microondas";"Microondas con grill";2195;2144;2144;0;0;0
01399;"Microondas sin plato GrandHeat 2010 Flatbed Steel";"PAE Cocina";"Microondas";"Microondas sin plato";868;861;861;0;0;0
01585;"Cafetera espresso Cafelizzia 790 Steel Professional";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";1955;1939;1939;0;0;0
02258;"Horno Freidora Bake&Fry 3000 Touch Steel";"PAE Cocina";"Hornos eléctricos";"Hornos freidoras";1264;1260;1260;0;0;0
07720;"Colchón Flow 7900 Hybrid 150x190";"Descanso";"Descanso";"Descanso";103;102;102;0;0;12
05867;"Robot aspirador Conga 2299 Inertial X-Treme";"Aspiración y Limpieza";"Robots";"Robots aspiradores";18;-5865;-5865;0;0;0
05602;"Deshumidificador BigDry 2000 Light Black";"Cuidado del aire";"Tratamiento del aire";"Deshumidificadores";0;-5627;-5627;0;0;0
05903;"Ventilador de pie EnergySilence 520 Power Black";"Cuidado del aire";"Ventilación";"Ventiladores de pie";0;0;0;0;0;0
08232;"Ventilador de sobremesa EnergySilence 620 RetroDesk";"Cuidado del aire";"Ventilación";"Ventiladores de sobremesa";1;1;1;0;0;0
05625;"Purificador TotalPure 1500 Connected";"Cuidado del aire";"Tratamiento del aire";"Purificadores de aire";1724;-3921;-3921;0;0;0
05658;"TotalPure 1800 Style Pro Connected";"Cuidado del aire";"Tratamiento del aire";"Purificadores de aire";860;-4818;-4818;0;0;0
05626;"Purificador TotalPure 2000 Connected";"Cuidado del aire";"Tratamiento del aire";"Purificadores de aire";2105;-3541;-3541;0;0;0
05620;"Purificador de aire TotalPure 2500 Connected";"Cuidado del aire";"Tratamiento del aire";"Purificadores de aire";3310;-2325;-2325;0;0;0
02506;"Placa Bolero Squad I 3000 FullFlex";"GAE";"Placas de inducción";"Placa de inducción portátil";29;-2513;-2513;0;0;0
05916;"Ventilador de pie EnergySilence 1040 Smartextreme";"Cuidado del aire";"Ventilación";"Ventiladores de pie";0;0;0;0;0;0
05914;"Ventilador de pie EnergySilence 1020 Extreme Connected";"Cuidado del aire";"Ventilación";"Ventiladores de pie";11;11;11;0;0;0
01639;"Cafetera Megautomática Power Matic-ccino 6000 Serie Bianca S";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";0;-1649;-1649;0;0;0
01642;"Cafetera Megautomática Power Matic-ccino 8000 Touch Serie Nera S";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";139;-1513;-1513;0;0;0
05913;"Ventilador de pie EnergySilence 1010 Extreme Connected";"Cuidado del aire";"Ventilación";"Ventiladores de pie";2;2;2;0;0;0
08177;"Aire acondicionado portátil ForceClima 12800 Soundless Heating Connected";"Cuidado del aire";"Ventilación";"Aires acondicionados portátiles";0;0;0;0;0;0
03978;"Batidoras de mano Katana 15 TotalDestroy Smash B";"PAE Cocina";"Batidoras";"Batidoras de mano";1009;996;996;0;0;0
01644;"Cafetera megautomática Cumbia Power Matic-ccino 9000 Serie Nera S";"PAE Cocina";"Cafeteras";"Cafeteras superautomáticas";3;-1646;-1646;0;0;0
08373;"Aspirador de mano Conga Rockstar Hand 8,4V";"Aspiración y Limpieza";"Aspiradores de mano";"Aspiradores de mano";6449;-2238;-2238;0;0;0
08174;"Aire acondicionado portátil ForceClima 9400 Soundless Heating";"Cuidado del aire";"Ventilación";"Aires acondicionados portátiles";0;0;0;0;0;0
05432;"Aspirador de mano Conga Rockstar Micro 15000 Clean&Car";"Aspiración y Limpieza";"Aspiradores de mano";"Aspiradores de mano BLDC";1810;-3641;-3641;0;0;0
08403;"Aspirador vertical Scoba 2100 Jalisco";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales BLDC";0;-8410;-8410;0;0;0
05854;"Fregona Eléctrica Conga Rockstar 29600 Aqua&Collect";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";12;-5852;-5852;0;0;0
70013;"Llave de impacto CecoRaptor Perfect Impact 2020 Ultra";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";913;913;913;0;0;0
02247;"Horno de sobremesa Bake&Toast 4500 Black Gyro";"PAE Cocina";"Hornos eléctricos";"Hornos de sobremesa";3;-4;-4;0;0;0
03311;"Freidora de aire Cecofry Full InoxBlack 5500 Connected";"PAE Cocina";"Freidoras";"Freidoras sin aceite";0;-100;-100;0;0;0
05797;"Robot aspirador Conga Perfect&Clean Connected Titanium";"Aspiración y Limpieza";"Robots";"Robots aspiradores";0;0;0;0;0;0
05356;"Toallero eléctrico Ready Warm 9870 Crystal Towel";"Cuidado del aire";"Calefacción";"Toalleros eléctricos";0;-5;-5;0;0;0
05843;"Robot aspirador Conga Eternal Max X-Treme";"Aspiración y Limpieza";"Robots";"Robots aspiradores";0;0;0;0;0;0
04297;"Secador Bamba IoniCare 6000 Rockstar Soft pro";"Cuidado personal";"Secadores de pelo";"Secadores de pelo BLDC";1856;1856;1856;0;0;0
05395;"Toallero eléctrico Ready Warm 9200 Smart Towel Steel";"Cuidado del aire";"Calefacción";"Toalleros eléctricos";833;831;831;0;0;0
02236;"Horno de sobremesa Bake&Toast 2800 Black";"PAE Cocina";"Hornos eléctricos";"Hornos de sobremesa";682;679;679;0;0;0
01586;"Cafetera espresso Cafelizzia 790 Shiny Pro";"PAE Cocina";"Cafeteras";"Cafeteras express";796;614;614;0;0;2300
04118;"Batidora de vaso Power Black Titanium 2000 Pro";"PAE Cocina";"Batidoras";"Batidoras de vaso";979;937;937;0;0;0
05379;"Toallero eléctrico Ready Warm 9100 Smart Towel White";"Cuidado del aire";"Calefacción";"Toalleros eléctricos";832;813;813;0;0;0
05688;"Aspirador vertical digital Conga Rockstar 2500 X-Treme";"Aspiración y Limpieza";"Aspiradores verticales";"Aspiradores verticales BLDC";600;600;600;0;0;0
05814;"Ready Warm 2650 Curved Flames Connected";"Cuidado del aire";"Calefacción";"Chimeneas";1179;1160;1160;0;0;0
07908;"Colchón Flow PureVital 3990 160x200";"Descanso";"Descanso";"Descanso";1;0;0;0;0;10
05936;"Ventilador industrial EnergySilence 4500 Gyro Pro";"Cuidado del aire";"Ventilación";"Ventiladores industriales";0;0;0;0;0;0
07694;"Colchón Flow PureVital 3800 105X190";"Descanso";"Descanso";"Descanso";0;0;0;0;0;0
05947;"Ventilador de techo EnergySilence Aero 560";"Cuidado del aire";"Ventilación";"Ventiladores de techo";1;-4;-4;0;0;200
